text,rating
This product is amazing! Best purchase ever.,5
Terrible quality. Waste of money.,1
It's okay I guess. Nothing special.,3
Absolutely love it! Highly recommend to everyone.,5
Disappointed with the service. Would not buy again.,2
Great value for money. Very satisfied with my purchase.,4
Not what I expected. The description was misleading.,2
Excellent! Exceeded all my expectations.,5
Average product. Does the job but nothing extraordinary.,3
Worst experience ever. Customer service is terrible.,1
Pretty good overall. Minor issues but manageable.,4
Fantastic! Will definitely order again.,5
Complete waste of time and money.,1
Decent quality for the price.,3
Outstanding! Can't believe how good this is.,5
